Names_str,bcrdist,lambda
ISO-M-S,2.619862973,lambda0.0
ISO-M-L,2.410555648,lambda0.0
ISO-P-L,2.200147512,lambda0.0
ISO-P-S,2.191301965,lambda0.0
ISO-P-M,2.169714208,lambda0.0
ISO-M-M,1.972436332,lambda0.0
InC-M-M,1.690034981,lambda0.0
InC-M-L,1.533553375,lambda0.0
InC-P-M,1.51539221,lambda0.0
InC-P-S,1.246070682,lambda0.0
InC-P-L,1.146058187,lambda0.0
InC-M-S,1.115152173,lambda0.0
ISO-M-L,1.043412978,lambda0.1
ISO-M-S,1.031659545,lambda0.1
InC-M-S,1.015753869,lambda0.1
InC-P-M,0.992319143,lambda0.1
InC-P-L,0.987666679,lambda0.1
InC-P-S,0.987547014,lambda0.1
ISO-P-L,0.978225296,lambda0.1
ISO-P-M,0.969821888,lambda0.1
ISO-P-S,0.969473809,lambda0.1
InC-M-M,0.965652966,lambda0.1
InC-M-L,0.965579868,lambda0.1
ISO-M-M,0.952081535,lambda0.1
ISO-P-S,1.059069745,lambda0.2
InC-P-S,1.029945574,lambda0.2
InC-M-L,1.028064023,lambda0.2
ISO-M-L,1.024641144,lambda0.2
ISO-M-M,1.016772804,lambda0.2
ISO-P-L,1.016297197,lambda0.2
InC-M-S,1.013563739,lambda0.2
InC-M-M,1.009900605,lambda0.2
InC-P-M,1.007513623,lambda0.2
InC-P-L,1.005589684,lambda0.2
ISO-P-M,1.005582785,lambda0.2
ISO-M-S,1.004873586,lambda0.2
ISO-P-S,1.035599193,lambda0.3
InC-M-L,1.02358901,lambda0.3
ISO-M-S,1.016406497,lambda0.3
InC-P-S,1.015700106,lambda0.3
ISO-P-L,1.015695882,lambda0.3
InC-P-L,1.015015758,lambda0.3
InC-M-M,1.01402988,lambda0.3
ISO-M-L,1.011577242,lambda0.3
ISO-M-M,1.010421237,lambda0.3
InC-M-S,1.010385467,lambda0.3
ISO-P-M,1.009673055,lambda0.3
InC-P-M,1.003567365,lambda0.3
ISO-P-S,1.029176328,lambda0.4
InC-M-L,1.021292768,lambda0.4
ISO-M-S,1.016369511,lambda0.4
InC-P-L,1.016300946,lambda0.4
InC-M-S,1.013727843,lambda0.4
ISO-M-M,1.013526716,lambda0.4
InC-M-M,1.012813133,lambda0.4
ISO-P-L,1.012380609,lambda0.4
ISO-P-M,1.011478439,lambda0.4
InC-P-S,1.009124114,lambda0.4
ISO-M-L,1.008628363,lambda0.4
InC-P-M,1.005708157,lambda0.4
InC-M-L,1.018960786,lambda0.5
ISO-P-S,1.018763646,lambda0.5
InC-P-L,1.015501882,lambda0.5
ISO-P-L,1.015261862,lambda0.5
ISO-M-S,1.01505664,lambda0.5
InC-M-S,1.013638629,lambda0.5
ISO-M-L,1.013601302,lambda0.5
InC-M-M,1.013474048,lambda0.5
InC-P-S,1.013385619,lambda0.5
ISO-P-M,1.012891879,lambda0.5
ISO-M-M,1.012648355,lambda0.5
InC-P-M,1.003712015,lambda0.5
ISO-P-S,1.020089708,lambda0.6
InC-M-L,1.018563793,lambda0.6
InC-P-L,1.015794863,lambda0.6
InC-M-M,1.015242253,lambda0.6
ISO-M-L,1.015119282,lambda0.6
InC-P-S,1.014436489,lambda0.6
InC-M-S,1.014065069,lambda0.6
ISO-M-S,1.012721597,lambda0.6
ISO-P-M,1.012009562,lambda0.6
ISO-M-M,1.01127104,lambda0.6
ISO-P-L,1.00908191,lambda0.6
InC-P-M,1.007580157,lambda0.6
ISO-P-S,1.02250342,lambda0.7
InC-M-L,1.020659603,lambda0.7
ISO-M-L,1.018665268,lambda0.7
InC-P-L,1.015464918,lambda0.7
InC-M-M,1.014712607,lambda0.7
InC-P-S,1.014093066,lambda0.7
InC-M-S,1.013383672,lambda0.7
ISO-P-M,1.012732713,lambda0.7
ISO-P-L,1.012109961,lambda0.7
InC-P-M,1.009052219,lambda0.7
ISO-M-S,1.007778786,lambda0.7
ISO-M-M,1.006789996,lambda0.7
ISO-P-S,1.024239566,lambda0.8
InC-M-L,1.02005908,lambda0.8
ISO-M-L,1.018321515,lambda0.8
InC-M-M,1.018206098,lambda0.8
ISO-P-L,1.017980394,lambda0.8
InC-P-L,1.017494222,lambda0.8
ISO-M-M,1.015469563,lambda0.8
ISO-P-M,1.015075493,lambda0.8
InC-M-S,1.011860049,lambda0.8
InC-P-S,1.011179512,lambda0.8
ISO-M-S,1.006166624,lambda0.8
InC-P-M,0.99895726,lambda0.8
InC-P-L,1.023370906,lambda0.9
ISO-P-L,1.020455981,lambda0.9
ISO-M-M,1.020029679,lambda0.9
InC-M-M,1.019564738,lambda0.9
InC-M-L,1.016089066,lambda0.9
ISO-P-S,1.015933584,lambda0.9
ISO-M-L,1.015567541,lambda0.9
ISO-P-M,1.015188259,lambda0.9
InC-M-S,1.014286896,lambda0.9
InC-P-S,1.012907511,lambda0.9
ISO-M-S,1.006311319,lambda0.9
InC-P-M,0.999349013,lambda0.9
InC-M-M,1.022284481,lambda1.0
ISO-M-L,1.022050939,lambda1.0
InC-P-L,1.021822088,lambda1.0
ISO-P-L,1.020706282,lambda1.0
ISO-P-S,1.019352362,lambda1.0
ISO-P-M,1.018544787,lambda1.0
InC-M-L,1.015446598,lambda1.0
InC-P-S,1.014226877,lambda1.0
ISO-M-M,1.013189562,lambda1.0
InC-M-S,1.010189742,lambda1.0
ISO-M-S,1.007571604,lambda1.0
InC-P-M,1.001064563,lambda1.0