ID,Generation,Cost,Reach Outlet NO3 kg/yr,Reach Outlet Sediment tons/yr,Dominates,Superiors,RawFitness,Score,Name
1,-1,0,26257132.94,590389.1611,0,0,0,99999.59375,Nothing
2,-1,129024002.8,25178448.83,512709.5292,0,4,78,99921.57031,PND Lake small
3,-1,382640954.5,24772456.96,448181.5745,0,6,111,99888.5625,PND Lake medium
4,-1,636154481.1,24405420.69,383991.4629,4,7,123,99876.5625,PND Lake large
5,-1,97368407.09,25581105.75,527330.0977,0,4,78,99921.57031,PND Marsh small
6,-1,287674167.4,25338783.66,468521.9467,0,4,78,99921.5625,PND Marsh medium
7,-1,477876502.6,25136074.56,408726.4917,0,6,111,99888.5625,PND Marsh large
8,-1,35484149.44,13116448.93,37874.7181,18,1,22,99977.625,RES Lake 25 ha
9,-1,70968298.88,9634030.963,37847.4491,18,2,42,99957.60938,RES Lake 50 ha
10,-1,354841494.4,1989928.313,38673.4405,15,3,60,99939.57031,RES Lake 250 ha
11,-1,697610454.8,680318.0378,38801.21,5,2,30,99969.58594,RES Lake 500 ha
12,-1,1393107427,306796.5873,32222.1345,1,2,18,99981.60156,RES Lake 1000 ha
13,-1,2783558989,189250.71,20219.2666,0,0,0,99999.66406,RES Lake 2000 ha
14,-1,29584075.88,1920203.04,24900.9871,22,0,0,99999.59375,RES Marsh 25 ha
15,-1,59168151.76,1190751.664,17844.8179,20,0,0,99999.59375,RES Marsh 50 ha
16,-1,295840758.8,347337.4929,18424.3021,18,0,0,99999.57813,RES Marsh 250 ha
17,-1,579608983.6,201841.6699,19043.4492,12,0,0,99999.58594,RES Marsh 500 ha
18,-1,1157104485,134900.8604,20231.3505,6,0,0,99999.59375,RES Marsh 1000 ha
19,-1,2311553104,107867.5335,22560.1023,0,0,0,99999.64063,RES Marsh 2000 ha
20,-1,16257733.91,25933915.96,468774.0237,0,0,0,99999.5625,Buffer Strip
21,-1,16093882.91,25967680.95,427477.4443,1,0,0,99999.57031,GW
22,-1,529517551.4,17633304.52,493627.4564,1,6,111,99888.57813,CoverCrop
23,-1,665691646.3,24768859.3,591174.3885,0,12,142,99857.58594,FM
24,-1,32351616.82,25967680.95,427477.4443,0,2,23,99976.57031,BufferStrip-GW
25,-1,545775285.3,17408908.38,420516.444,4,7,117,99882.57031,BufferStrip-CoverCrop
26,-1,681949380.2,24459393.3,469135.4238,0,11,141,99858.5625,BufferStrip-FM
27,-1,545611434.3,17407913.91,399970.5334,6,6,111,99888.57031,"GW, CoverCrop"
28,-1,681785529.2,24479736.2,427589.2985,1,11,141,99858.55469,"GW, FertilizerManagement"
29,-1,1195209198,16266312.35,494127.2441,0,9,134,99865.57813,"CoverCrop, FertilizerManagement"
30,-1,561869168.2,17407913.91,399970.5334,4,7,117,99882.57031,"BufferStrip, GW, CoverCrop"
31,-1,698043263.1,24479736.2,427589.2985,0,13,147,99852.55469,"BufferStrip, GW, FertilizerManagement"
32,-1,1211466932,16052447.59,420622.6502,0,10,136,99863.5625,"BufferStrip, CoverCrop, FertilizerManagement"
33,-1,1211303081,16041569.86,400127.7615,2,9,134,99865.5625,"GW, CoverCrop, FertilizerManagement"
34,-1,1227560815,16041569.86,400127.7615,0,10,136,99863.5625,"BufferStrip, GW, CoverCrop, FertilizerManagement"
35,-1,6058078.819,26257757.97,582367.989,0,0,0,99999.59375,RAMO
36,-1,1474955528,537730.1449,32952.5314,0,4,37,99962.60156,Random