 ISO-P-S, ISO-P-M, ISO-P-L, ISO-M-S, ISO-M-M, ISO-M-L, InC-P25, InC-P50, InC-P250, InC-P500, InC-P1000, InC-P2000, InC-M25, InC-M50, InC-M250, InC-M500, InC-M1000, InC-M2000,subbasin
0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,257
1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,258
0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,259
1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,260
1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,261
1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,262
1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,263
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,264
0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,265
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,266
0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,267
1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,268
0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,269
0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,270
0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,271
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,272
1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,273
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,274
1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,275
1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,276
0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,277
1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,278
1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,279
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,280
1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,281
0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,282
0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,283
0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,284
0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,285
0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,286
1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,287
1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,288
1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,289
0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,290
0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,291
1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,292
0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,293
0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,294
0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,295
1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,296
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,297
1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,298
1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,299
1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,300
0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,301
0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,302
1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,303
0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,304
0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,305
1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,306
1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,307
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,308
1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,309
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,310
0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,311
0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,312
1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,313
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,314
1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,315
1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,316
1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,317
1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,318
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,319
0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,320
0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,321
0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,322
0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,323
0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,324
1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,325
0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,326
0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,327
0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,328
1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,329
1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,330
1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,331
1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,332
1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,333
1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,334
0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,335
0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,336
1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,337
1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,338
0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,339
0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,340
0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,341
1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,342
0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,343
1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,344
0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,345
0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,346
0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,347
0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,348
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,349
0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,350
0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,351
0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,352
1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,353
1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,354
0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,355
0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,356
0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,357
1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,358
0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,359
0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,360
1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,361
0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,362
0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,363
1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,364
1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,365
0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,366
0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,367
0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,368
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,369
0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,370
0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,371
0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,372
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,373
1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,374
1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,375
1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,376
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,377
1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,378
0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,379
1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,380
1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,381
1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,382
0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,383
0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,384
1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,385
0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,386
0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,387
0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,388
1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,389
0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,390
1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,391
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,392
1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,393
0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,394
1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,395
0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,396
1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,397
0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,398
1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,399
0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,400
1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,401
1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,402
1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,403
1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,404
0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,405
0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,406
0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,407
1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,408
0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,409
1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,410
0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,411
0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,412
1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,413
1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,414
0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,415
0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,416
0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,417
0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,418
0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,419
1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,420
1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,421
0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,422
0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,423
0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,424
1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,425
1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,426
0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,427
0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,428
1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,429
1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,430
0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,431
0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,432
0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,433
1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,434
1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,435
1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,436
0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,437
1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,438
1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,439
0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,440
1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,441
0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,442
1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,443
0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,444
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,445
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,446
1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,447
1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,448
1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,449
1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,450
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,451
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,452
1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,453
1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,454
0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,455
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,456
1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,457
1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,458
0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,459
1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,460
0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,461
1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,462
0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,463
1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,464
1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,465
0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,466
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,467
1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,468
0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,469
1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,470
1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,471
1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,472
0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,473
0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,474
0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,475
1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,476
0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,477
0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,478
1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,479
0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,480
0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,481
1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,482
1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,483
0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,484
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,485
1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,486
0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,487
0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,488
0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,489
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,490
0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,491
0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,492
1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,493
1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,494
1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,495
0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,496
0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,497
1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,498
1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,499
0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,500
0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,501
1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,502
1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,503
0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,504
1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,505
0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,506
1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,507
0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,508
0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,509
1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,510
0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,511
1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,512
0,1,0,1,0,0,,,,,,,,,,,,,513
0,1,1,1,1,0,,,,,,,,,,,,,514
1,1,1,0,0,1,,,,,,,,,,,,,515
